Party,Won,Leading,Total
Tamilaga Vettri Kazhagam - TVK,108,0,234
Dravida Munnetra Kazhagam - DMK,59,0,234
All India Anna Dravida Munnetra Kazhagam - ADMK,47,0,234
Indian National Congress - INC,5,0,234
Pattali Makkal Katchi - PMK,4,0,234
Indian Union Muslim League - IUML,2,0,234
Communist Party of India - CPI,2,0,234
Viduthalai Chiruthaigal Katchi - VCK,2,0,234
Communist Party of India (Marxist) - CPI(M),2,0,234
Bharatiya Janata Party - BJP,1,0,234
Desiya Murpokku Dravida Kazhagam - DMDK,1,0,234
Amma Makkal Munnettra Kazagam - AMMKMNKZ,1,0,234
